#,Program Title,Agency/Office,Types of Assistance,Date Modified,Date Published
93.537,Affordable Care Act Medicaid Emergency Psychiatric Demonstration,Department of Health and Human Services / Centers for Medicare and Medicaid Services,C - Direct Payments for Specified Use,7/18/2015 5:00,1/3/2011 7:37
93.546,Early Retiree Reinsurance Program,Department of Health and Human Services / Centers for Medicare and Medicaid Services,C - Direct Payments for Specified Use,7/17/2015 5:00,7/5/2011 17:17
93.220,Clinical Research Loan Repayment Program for Individuals from Disadvantaged Backgrounds,Department of Health and Human Services / National Institutes of Health,C - Direct Payments for Specified Use,8/21/2015 5:00,1/1/1994 0:00
97.131,Emergency Management Baseline Assessments Grant (EMBAG),Department of Homeland Security,C - Direct Payments for Specified Use,8/27/2015 5:01,9/18/2012 13:01
16.606,State Criminal Alien Assistance Program,Department of Justice / Bureau of Justice Assistance,C - Direct Payments for Specified Use,9/18/2015 5:00,1/1/1998 0:00
16.922,Equitable Sharing Program,Department of Justice / Criminal Division,C - Direct Payments for Specified Use,12/17/2014 5:00,4/19/2012 5:00
15.429,State Select,Department of the Interior / Office of the Secretary,C - Direct Payments for Specified Use,2/7/2014 14:16,5/25/2011 5:00
15.430,8(g) State Coastal Zone,Department of the Interior / Office of the Secretary,C - Direct Payments for Specified Use,2/7/2014 14:17,5/25/2011 5:00
15.433,Flood Control Act Lands,Department of the Interior / Office of the Secretary,C - Direct Payments for Specified Use,2/7/2014 14:17,5/25/2011 5:00
15.434,Geothermal Resources,Department of the Interior / Office of the Secretary,C - Direct Payments for Specified Use,2/7/2014 14:17,5/25/2011 5:00
15.435,GoMESA,Department of the Interior / Office of the Secretary,C - Direct Payments for Specified Use,2/7/2014 14:17,5/25/2011 5:00
15.437,Minerals Leasing Act,Department of the Interior / Office of the Secretary,C - Direct Payments for Specified Use,2/7/2014 14:18,5/26/2011 5:00
15.438,National Forest Acquired Lands,Department of the Interior / Office of the Secretary,C - Direct Payments for Specified Use,2/7/2014 14:18,5/26/2011 5:00
15.439,National Petroleum Reserve - Alaska,Department of the Interior / Office of the Secretary,C - Direct Payments for Specified Use,2/7/2014 14:18,5/26/2011 5:00
15.440,South Half of the Red River,Department of the Interior / Office of the Secretary,C - Direct Payments for Specified Use,2/7/2014 14:18,5/26/2011 5:00
20.814,Assistance to Small Shipyards,Department of Transportation / Maritime Administration (MARAD),C - Direct Payments for Specified Use,8/8/2015 5:00,1/1/2008 0:00
10.929,Water Bank Program,Department of Agriculture / Natural Resources Conservation Service,C - Direct Payments for Specified Use (Cooperative Agreements),9/4/2015 5:00,7/14/2013 5:00
15.956,Ebey’s Landing National Historical Reserve and Ebey’s Landing National Historical Reserve Trust Board,Department of the Interior / National Park Service,"C - Direct Payments for Specified Use (Cooperative Agreements), J - Provision of Specialized Services",8/28/2015 5:01,6/6/2013 5:00
16.755,Southwest Border Prosecution Initiative Program,Department of Justice / Bureau of Justice Assistance,D - Direct Payments with Unrestricted Use,9/10/2015 5:01,7/21/2009 18:03
16.814,Northern Border Prosecution Initiative Program,Department of Justice / Bureau of Justice Assistance,D - Direct Payments with Unrestricted Use,9/10/2015 5:01,7/21/2009 18:04
15.659,National Wildlife Refuge Fund,Department of the Interior / Fish and Wildlife Service,D - Direct Payments with Unrestricted Use,7/22/2015 5:00,7/21/2009 18:02
15.431,Alaska Settlement Agreement,Department of the Interior / Office of the Secretary,D - Direct Payments with Unrestricted Use,2/7/2014 14:17,5/25/2011 5:00
15.432,California Refuge Account,Department of the Interior / Office of the Secretary,D - Direct Payments with Unrestricted Use,2/7/2014 14:17,5/25/2011 5:00
15.436,Late Disbursement Interest,Department of the Interior / Office of the Secretary,D - Direct Payments with Unrestricted Use,2/7/2014 14:18,5/26/2011 5:00
10.449,Boll Weevil Eradication Loan Program,Department of Agriculture / Farm Service Agency,E - DIRECT LOANS,8/15/2015 5:00,1/1/2000 0:00
81.126,Federal Loan Guarantees for Innovative Energy Technologies,Department of Energy,"E - Direct Loans, F - Guaranteed/Insured Loans",9/11/2015 5:00,1/1/2006 0:00
20.223,Transportation Infrastructure Finance and Innovation Act (TIFIA) Program,Department of Transportation / Federal Highway Administration (FHWA),"E - DIRECT LOANS, F - GUARANTEED/INSURED LOANS",7/27/2015 5:00,1/1/2007 0:00
20.316,Railroad Rehabilitation and Improvement Financing Program,Department of Transportation / Federal Railroad Administration (FRA),"E - DIRECT LOANS, F - Guaranteed/Insured Loans",7/22/2015 5:00,1/1/2007 0:00
10.865,Biorefinery Assistance,Department of Agriculture / Rural Business-Cooperative Service,F - Guaranteed/Insured Loans,9/22/2015 5:00,12/23/2009 9:02
45.201,Arts and Artifacts Indemnity,Federal Council on the Arts and the Humanities,G - INSURANCE,8/7/2015 5:01,1/1/1976 0:00
93.291,Surplus Property Utilization,Department of Health and Human Services / Program Support Center,"H - Sale, Exchange, or Donation of Property and Goods",8/8/2015 5:00,1/1/1990 0:00
15.918,"Disposal of Federal Surplus Real Property for Parks, Recreation, and Historic Monuments",Department of the Interior / National Park Service,"H - Sale, Exchange, or Donation of Property and Goods",8/27/2015 5:02,1/1/1981 0:00
39.003,Donation of Federal Surplus Personal Property,General Services Administration,"H - Sale, Exchange, or Donation of Property and Goods",9/21/2014 5:01,1/1/1965 0:00
39.007,Sale of Federal Surplus Personal Property,General Services Administration,"H - Sale, Exchange, or Donation of Property and Goods",9/21/2014 5:01,1/1/1965 0:00
11.604,Standard Reference Materials,Department of Commerce / National Institute of Standards and Technology (NIST),"H - SALE, EXCHANGE, OR DONATION OF PROPERTY OR GOODS",8/5/2015 5:00,1/1/1969 0:00
14.311,Single Family Property Disposition,Department of Housing and Urban Development / Office of Housing-Federal Housing Commissioner,"H - SALE, EXCHANGE, OR DONATION OF PROPERTY OR GOODS",8/16/2015 5:00,1/1/2000 0:00
16.578,Federal Surplus Property Transfer Program,Department of Justice / Bureau of Justice Assistance,"H - SALE, EXCHANGE, OR DONATION OF PROPERTY OR GOODS",9/6/2015 5:00,1/1/1986 0:00
15.214,Non-Sale Disposals of Mineral Material,Department of the Interior / Bureau of Land Management,"H - SALE, EXCHANGE, OR DONATION OF PROPERTY OR GOODS",9/17/2015 5:00,1/1/1972 0:00
68.001,National Gallery of Art Extension Service,National Gallery of Art,"I - USE OF PROPERTY, FACILITIES, OR EQUIPMENT",7/9/2008 0:00,1/1/1971 0:00
15.850,Indian Arts and Crafts Development,Department of the Interior / Indian Arts and Crafts Board,"I - USE OF PROPERTY, FACILITIES, OR EQUIPMENT, K - ADVISORY SERVICES AND COUNSELING, N - INVESTIGATION OF COMPLAINTS",11/5/2008 0:00,1/1/1970 0:00
94.013,Volunteers in Service to America,Corporation for National and Community Service,J - Provision of Specialized Services,9/20/2014 5:00,1/1/1995 0:00
10.905,Plant Materials for Conservation,Department of Agriculture / Natural Resources Conservation Service,J - PROVISION OF SPECIALIZED SERVICES,9/2/2015 5:00,1/1/1971 0:00
11.601,Calibration Program,Department of Commerce / National Institute of Standards and Technology (NIST),J - PROVISION OF SPECIALIZED SERVICES,8/5/2015 5:00,1/1/1970 0:00
11.413,Fishery Products Inspection and Certification,Department of Commerce / National Oceanic and Atmospheric Administration (NOAA),J - PROVISION OF SPECIALIZED SERVICES,8/18/2012 5:00,1/1/1971 0:00
12.101,Beach Erosion Control Projects,"Department of Defense / Department of the Army, Office of the Chief of Engineers",J - PROVISION OF SPECIALIZED SERVICES,9/21/2014 5:00,1/1/1967 0:00
12.103,Emergency Operations Flood Response and Post Flood Response,"Department of Defense / Department of the Army, Office of the Chief of Engineers",J - PROVISION OF SPECIALIZED SERVICES,9/19/2008 0:00,1/1/1965 0:00
12.105,"Protection of Essential Highways, Highway Bridge Approaches, and Public Works","Department of Defense / Department of the Army, Office of the Chief of Engineers",J - PROVISION OF SPECIALIZED SERVICES,3/20/2011 5:00,1/1/1970 0:00
12.106,Flood Control Projects,"Department of Defense / Department of the Army, Office of the Chief of Engineers",J - PROVISION OF SPECIALIZED SERVICES,9/11/2015 5:00,1/1/1970 0:00
12.107,Navigation Projects,"Department of Defense / Department of the Army, Office of the Chief of Engineers",J - PROVISION OF SPECIALIZED SERVICES,3/20/2011 5:00,1/1/1967 0:00
12.108,Snagging and Clearing for Flood Control,"Department of Defense / Department of the Army, Office of the Chief of Engineers",J - PROVISION OF SPECIALIZED SERVICES,3/20/2011 5:00,1/1/1970 0:00
12.109,"Protection, Clearing and Straightening Channels","Department of Defense / Department of the Army, Office of the Chief of Engineers",J - PROVISION OF SPECIALIZED SERVICES,9/19/2008 0:00,1/1/1970 0:00
12.110,Planning Assistance to States,"Department of Defense / Department of the Army, Office of the Chief of Engineers",J - PROVISION OF SPECIALIZED SERVICES,9/21/2014 5:00,1/1/1975 0:00
12.111,Emergency Advance Measures for Flood Prevention,"Department of Defense / Department of the Army, Office of the Chief of Engineers",J - PROVISION OF SPECIALIZED SERVICES,9/19/2008 0:00,1/1/1983 0:00
12.116,Department of Defense Appropriation Act of 2003,"Department of Defense / Department of the Army, Office of the Chief of Engineers",J - PROVISION OF SPECIALIZED SERVICES,9/11/2015 5:00,1/1/2003 0:00
16.200,Community Relations Service,Department of Justice / Community Relations Service,J - PROVISION OF SPECIALIZED SERVICES,9/23/2012 5:00,1/1/1967 0:00
16.001,Law Enforcement Assistance_Narcotics and Dangerous Drugs_Laboratory Analysis,Department of Justice / Drug Enforcement Administration,J - PROVISION OF SPECIALIZED SERVICES,6/20/2015 5:00,1/1/1969 0:00
16.303,Law Enforcement Assistance_FBI Fingerprint Identification,Department of Justice / Federal Bureau of Investigation,J - PROVISION OF SPECIALIZED SERVICES,9/19/2015 5:01,1/1/1969 0:00
16.304,Law Enforcement Assistance_National Crime Information Center,Department of Justice / Federal Bureau of Investigation,J - PROVISION OF SPECIALIZED SERVICES,9/19/2015 5:01,1/1/1969 0:00
17.272,Permanent Labor Certification for Foreign Workers,Department of Labor / Employment Training Administration,J - PROVISION OF SPECIALIZED SERVICES,8/20/2015 5:01,1/1/2006 0:00
21.004,Exchange of Federal Tax Information With State Tax Agencies,Department of the Treasury / Internal Revenue Service (IRS),J - Provision of Specialized Services,8/17/2013 5:01,1/1/1972 0:00
39.012,Public Buildings Service,General Services Administration,J - PROVISION OF SPECIALIZED SERVICES,9/25/2008 0:00,1/1/2008 0:00
27.011,Intergovernmental Personnel Act (IPA) Mobility Program,Office of Personnel Management,"J - PROVISION OF SPECIALIZED SERVICES, K - ADVISORY SERVICES AND COUNSELING",7/8/2005 0:00,1/1/1971 0:00
15.915,Technical Preservation Services,Department of the Interior / National Park Service,"J - PROVISION OF SPECIALIZED SERVICES, K - ADVISORY SERVICES AND COUNSELING, L - DISSEMINATION OF TECHNICAL INFORMATION",8/27/2015 5:02,1/1/1981 0:00
11.606,Weights and Measures Service,Department of Commerce / National Institute of Standards and Technology (NIST),"J - PROVISION OF SPECIALIZED SERVICES, K - ADVISORY SERVICES AND COUNSELING, L - DISSEMINATION OF TECHNICAL INFORMATION, M - TRAINING",8/7/2015 5:01,1/1/1967 0:00
10.163,Market Protection and Promotion,Department of Agriculture / Agricultural Marketing Service,"J - PROVISION OF SPECIALIZED SERVICES, K - ADVISORY SERVICES AND COUNSELING, M - TRAINING",9/12/2015 5:00,1/1/1982 0:00
11.005,Census Special Tabulations and Services,Department of Commerce / U.S. Census Bureau,"J - PROVISION OF SPECIALIZED SERVICES, L - DISSEMINATION OF TECHNICAL INFORMATION",6/20/2008 0:00,1/1/1969 0:00
12.100,Aquatic Plant Control,"Department of Defense / Department of the Army, Office of the Chief of Engineers","J - PROVISION OF SPECIALIZED SERVICES, L - DISSEMINATION OF TECHNICAL INFORMATION",9/19/2008 0:00,1/1/1967 0:00
10.595,Farm to School Training and Technical Assistance,Department of Agriculture / Food and Nutrition Service,"J - Provision of Specialized Services, M - Training",8/29/2015 5:01,2/6/2014 5:00
16.301,Law Enforcement Assistance_FBI Crime Laboratory Support,Department of Justice / Federal Bureau of Investigation,"J - PROVISION OF SPECIALIZED SERVICES, M - TRAINING",9/19/2015 5:01,1/1/1965 0:00
27.013,Presidential Management Intern Program,Office of Personnel Management,"J - PROVISION OF SPECIALIZED SERVICES, M - TRAINING, O - FEDERAL EMPLOYMENT",3/28/2008 0:00,1/1/1978 0:00
10.902,Soil and Water Conservation,Department of Agriculture / Natural Resources Conservation Service,K - ADVISORY SERVICES AND COUNSELING,9/2/2015 5:01,1/1/1970 0:00
10.904,Watershed Protection and Flood Prevention,Department of Agriculture / Natural Resources Conservation Service,K - ADVISORY SERVICES AND COUNSELING,9/2/2015 5:00,1/1/1970 0:00
10.916,Watershed Rehabilitation Program,Department of Agriculture / Natural Resources Conservation Service,K - ADVISORY SERVICES AND COUNSELING,9/3/2015 5:00,1/1/2003 0:00
11.108,Commercial Service,Department of Commerce / International Trade Administration,K - ADVISORY SERVICES AND COUNSELING,9/18/2008 0:00,1/1/1980 0:00
15.921,"Rivers, Trails and Conservation Assistance",Department of the Interior / National Park Service,K - ADVISORY SERVICES AND COUNSELING,8/27/2015 5:02,1/1/1994 0:00
15.927,Hydropower Recreation Assistance,Department of the Interior / National Park Service,K - ADVISORY SERVICES AND COUNSELING,8/27/2015 5:02,1/1/2002 0:00
12.104,Flood Plain Management Services,"Department of Defense / Department of the Army, Office of the Chief of Engineers","K - ADVISORY SERVICES AND COUNSELING, L - DISSEMINATION OF TECHNICAL INFORMATION",9/19/2008 0:00,1/1/1965 0:00
17.601,Mine Health and Safety Counseling and Technical Assistance,Department of Labor / Mine Safety and Health Administration,"K - ADVISORY SERVICES AND COUNSELING, L - DISSEMINATION OF TECHNICAL INFORMATION",8/20/2015 5:01,1/1/1978 0:00
11.002,Census Customer Services,Department of Commerce / U.S. Census Bureau,"K - ADVISORY SERVICES AND COUNSELING, L - DISSEMINATION OF TECHNICAL INFORMATION, M - TRAINING",9/17/2008 0:00,1/1/1970 0:00
11.004,Census Intergovernmental Services,Department of Commerce / U.S. Census Bureau,"K - ADVISORY SERVICES AND COUNSELING, L - DISSEMINATION OF TECHNICAL INFORMATION, M - TRAINING",9/17/2008 0:00,1/1/1970 0:00
